Index,year,county,property,violent,total_index_crimes
1996-Dutchess,1996,Dutchess,6700,935,7635
1996-Erie,1996,Erie,40674,5546,46220
1996-Essex,1996,Essex,653,75,728
1996-Franklin,1996,Franklin,978,179,1157
1996-Fulton,1996,Fulton,1971,174,2145
1996-Genesee,1996,Genesee,1522,126,1648
1996-Greene,1996,Greene,955,267,1222
1996-Hamilton,1996,Hamilton,103,8,111
1996-Herkimer,1996,Herkimer,1281,136,1417
1996-Jefferson,1996,Jefferson,2693,193,2886
1996-Kings,1996,Kings,71861,34798,106659
1996-Lewis,1996,Lewis,385,34,419
1996-Livingston,1996,Livingston,1596,123,1719
1996-Madison,1996,Madison,1584,99,1683
1996-Monroe,1996,Monroe,35012,2800,37812
1996-Montgomery,1996,Montgomery,1307,113,1420
1996-Nassau,1996,Nassau,29145,3268,32413
1996-New York,1996,New York,85392,22006,107398
1996-Niagara,1996,Niagara,8245,878,9123
1996-Oneida,1996,Oneida,7374,619,7993
1996-Onondaga,1996,Onondaga,18574,1729,20303
1996-Ontario,1996,Ontario,2379,84,2463
1996-Orange,1996,Orange,8664,1145,9809
1996-Orleans,1996,Orleans,858,101,959
1996-Oswego,1996,Oswego,3199,193,3392
1996-Otsego,1996,Otsego,1314,101,1415
1996-Putnam,1996,Putnam,1305,70,1375
1996-Queens,1996,Queens,75037,18786,93823
1996-Rensselaer,1996,Rensselaer,5541,503,6044
1996-Richmond,1996,Richmond,9428,2523,11951
1996-Rockland,1996,Rockland,7139,658,7797
1996-Saratoga,1996,Saratoga,3858,524,4382
1996-Schenectady,1996,Schenectady,5565,557,6122
1996-Schoharie,1996,Schoharie,543,45,588
1996-Schuyler,1996,Schuyler,329,22,351
1996-Seneca,1996,Seneca,739,46,785
1996-St Lawrence,1996,St Lawrence,3072,194,3266
1996-Steuben,1996,Steuben,2676,204,2880
1996-Suffolk,1996,Suffolk,42664,2567,45231
1996-Sullivan,1996,Sullivan,2541,398,2939
1996-Tioga,1996,Tioga,781,58,839
1996-Tompkins,1996,Tompkins,3437,141,3578
1996-Ulster,1996,Ulster,3956,592,4548
1996-Warren,1996,Warren,2119,201,2320
1996-Washington,1996,Washington,1088,62,1150
1996-Wayne,1996,Wayne,1920,136,2056
1996-Westchester,1996,Westchester,26259,3227,29486
1996-Wyoming,1996,Wyoming,986,122,1108
1996-Yates,1996,Yates,467,30,497
1997-Albany,1997,Albany,13092,1450,14542
1997-Allegany,1997,Allegany,859,84,943
1997-Bronx,1997,Bronx,38034,19592,57626
1997-Broome,1997,Broome,6640,383,7023
1997-Cattaraugus,1997,Cattaraugus,2069,231,2300
1997-Cayuga,1997,Cayuga,1969,168,2137
1997-Chautauqua,1997,Chautauqua,4271,398,4669
1997-Chemung,1997,Chemung,3062,258,3320
1997-Chenango,1997,Chenango,1231,131,1362
1997-Clinton,1997,Clinton,1562,354,1916
1997-Columbia,1997,Columbia,1432,302,1734
1997-Cortland,1997,Cortland,1915,105,2020
1997-Delaware,1997,Delaware,865,104,969
1997-Dutchess,1997,Dutchess,6725,840,7565
1997-Erie,1997,Erie,39060,5100,44160
1997-Essex,1997,Essex,602,80,682
1997-Franklin,1997,Franklin,926,163,1089
1997-Fulton,1997,Fulton,1601,170,1771
1997-Genesee,1997,Genesee,1459,107,1566
1997-Greene,1997,Greene,932,337,1269
1997-Hamilton,1997,Hamilton,102,4,106
1997-Herkimer,1997,Herkimer,1352,154,1506
1997-Jefferson,1997,Jefferson,2534,166,2700
1997-Kings,1997,Kings,68757,32697,101454
1997-Lewis,1997,Lewis,352,41,393
1997-Livingston,1997,Livingston,1551,143,1694
1997-Madison,1997,Madison,1573,72,1645
1997-Monroe,1997,Monroe,33747,2912,36659
1997-Montgomery,1997,Montgomery,1039,123,1162
1997-Nassau,1997,Nassau,27258,2532,29790
1997-New York,1997,New York,80079,20174,100253
1997-Niagara,1997,Niagara,8273,1027,9300
1997-Oneida,1997,Oneida,6894,693,7587
1997-Onondaga,1997,Onondaga,17834,1791,19625
1997-Ontario,1997,Ontario,2247,72,2319
1997-Orange,1997,Orange,7934,1051,8985
1997-Orleans,1997,Orleans,989,91,1080
1997-Oswego,1997,Oswego,3283,156,3439
1997-Otsego,1997,Otsego,1329,124,1453
1997-Putnam,1997,Putnam,1236,60,1296
1997-Queens,1997,Queens,68062,17832,85894
1997-Rensselaer,1997,Rensselaer,4952,531,5483
1997-Richmond,1997,Richmond,8775,2571,11346
1997-Rockland,1997,Rockland,6691,746,7437
1997-Saratoga,1997,Saratoga,2915,237,3152
1997-Schenectady,1997,Schenectady,5175,501,5676
1997-Schoharie,1997,Schoharie,487,39,526
1997-Schuyler,1997,Schuyler,302,16,318
1997-Seneca,1997,Seneca,696,53,749
1997-St Lawrence,1997,St Lawrence,2960,206,3166
1997-Steuben,1997,Steuben,2721,216,2937
1997-Suffolk,1997,Suffolk,41752,2513,44265
1997-Sullivan,1997,Sullivan,2457,430,2887
1997-Tioga,1997,Tioga,580,47,627
1997-Tompkins,1997,Tompkins,3138,148,3286
1997-Ulster,1997,Ulster,4251,629,4880
1997-Warren,1997,Warren,1896,133,2029
1997-Washington,1997,Washington,1104,194,1298
1997-Wayne,1997,Wayne,2007,136,2143
1997-Westchester,1997,Westchester,25455,3146,28601
1997-Wyoming,1997,Wyoming,937,114,1051
1997-Yates,1997,Yates,452,35,487
1998-Albany,1998,Albany,12423,1310,13733
1998-Allegany,1998,Allegany,822,69,891
1998-Bronx,1998,Bronx,34073,18391,52464
1998-Broome,1998,Broome,6162,386,6548
1998-Cattaraugus,1998,Cattaraugus,1942,154,2096
1998-Cayuga,1998,Cayuga,1854,178,2032
1998-Chautauqua,1998,Chautauqua,4038,390,4428
1998-Chemung,1998,Chemung,2806,258,3064
1998-Chenango,1998,Chenango,943,136,1079
1998-Clinton,1998,Clinton,1124,249,1373
1998-Columbia,1998,Columbia,1255,247,1502
1998-Cortland,1998,Cortland,1740,125,1865
1998-Delaware,1998,Delaware,699,99,798
1998-Dutchess,1998,Dutchess,5955,680,6635
1998-Erie,1998,Erie,34790,4535,39325
1998-Essex,1998,Essex,560,86,646
1998-Franklin,1998,Franklin,674,173,847
1998-Fulton,1998,Fulton,1437,159,1596
1998-Genesee,1998,Genesee,1322,97,1419
1998-Greene,1998,Greene,821,326,1147
1998-Hamilton,1998,Hamilton,100,1,101
1998-Herkimer,1998,Herkimer,1305,141,1446
1998-Jefferson,1998,Jefferson,2154,173,2327
1998-Kings,1998,Kings,65324,31123,96447
1998-Lewis,1998,Lewis,312,157,469
1998-Livingston,1998,Livingston,1646,155,1801
1998-Madison,1998,Madison,1241,54,1295
1998-Monroe,1998,Monroe,32036,2394,34430
1998-Montgomery,1998,Montgomery,1041,106,1147
1998-Nassau,1998,Nassau,25117,2468,27585
1998-New York,1998,New York,71751,18054,89805
1998-Niagara,1998,Niagara,7832,930,8762
1998-Oneida,1998,Oneida,6607,630,7237
1998-Onondaga,1998,Onondaga,15989,1866,17855
1998-Ontario,1998,Ontario,2283,113,2396
1998-Orange,1998,Orange,7554,1079,8633
1998-Orleans,1998,Orleans,788,116,904
1998-Oswego,1998,Oswego,2767,118,2885
1998-Otsego,1998,Otsego,1039,132,1171
1998-Putnam,1998,Putnam,1219,70,1289
1998-Queens,1998,Queens,59173,16492,75665
1998-Rensselaer,1998,Rensselaer,4470,413,4883
1998-Richmond,1998,Richmond,7205,1855,9060
1998-Rockland,1998,Rockland,6302,710,7012
1998-Saratoga,1998,Saratoga,2802,209,3011
1998-Schenectady,1998,Schenectady,5057,563,5620
1998-Schoharie,1998,Schoharie,437,33,470
1998-Schuyler,1998,Schuyler,349,10,359
1998-Seneca,1998,Seneca,726,66,792
1998-St Lawrence,1998,St Lawrence,2819,189,3008
1998-Steuben,1998,Steuben,2547,178,2725
