Index,year,county,population,firearm_count
2013-Broome,2013,Broome,197527,53
2013-Cattaraugus,2013,Cattaraugus,77430,20
2013-Cayuga,2013,Cayuga,79520,12
2013-Chautauqua,2013,Chautauqua,133288,40
2013-Chemung,2013,Chemung,89040,18
2013-Chenango,2013,Chenango,49857,4
2013-Clinton,2013,Clinton,81595,4
2013-Columbia,2013,Columbia,62398,9
2013-Cortland,2013,Cortland,49599,4
2013-Delaware,2013,Delaware,46322,13
2013-Dutchess,2013,Dutchess,297521,112
2013-Erie,2013,Erie,920162,1092
2013-Essex,2013,Essex,37412,5
2013-Franklin,2013,Franklin,51936,7
2013-Fulton,2013,Fulton,54677,14
2013-Genesee,2013,Genesee,59887,18
2013-Greene,2013,Greene,48582,11
2013-Hamilton,2013,Hamilton,4768,2
2013-Herkimer,2013,Herkimer,64596,13
2013-Jefferson,2013,Jefferson,121663,15
2013-Kings,2013,Kings,2586006.808,0
2013-Lewis,2013,Lewis,27307,10
2013-Livingston,2013,Livingston,64718,8
2013-Madison,2013,Madison,72132,4
2013-Monroe,2013,Monroe,749775,842
2013-Montgomery,2013,Montgomery,49898,1
2013-Nassau,2013,Nassau,1353478,467
2013-New York,2013,New York,1620452.318,0
2013-Niagara,2013,Niagara,214912,150
2013-Oneida,2013,Oneida,233394,96
2013-Onondaga,2013,Onondaga,467218,297
2013-Ontario,2013,Ontario,108796,11
2013-Orange,2013,Orange,375281,165
2013-Orleans,2013,Orleans,42878,4
2013-Oswego,2013,Oswego,121698,8
2013-Otsego,2013,Otsego,61617,7
2013-Putnam,2013,Putnam,99665,3
2013-Queens,2013,Queens,2292142.398,0
2013-Rensselaer,2013,Rensselaer,160153,90
2013-Richmond,2013,Richmond,470183.056,0
2013-Rockland,2013,Rockland,319900,31
2013-Saratoga,2013,Saratoga,223105,22
2013-Schenectady,2013,Schenectady,155367,116
2013-Schoharie,2013,Schoharie,31944,3
2013-Schuyler,2013,Schuyler,18604,6
2013-Seneca,2013,Seneca,35375,5
2013-Steuben,2013,Steuben,99222,8
2013-St Lawrence,2013,St Lawrence,112480,12
2013-Suffolk,2013,Suffolk,1502540,410
2013-Sullivan,2013,Sullivan,76673,23
2013-Tioga,2013,Tioga,50342,0
2013-Tompkins,2013,Tompkins,102977,16
2013-Ulster,2013,Ulster,181804,19
2013-Warren,2013,Warren,65566,1
2013-Washington,2013,Washington,62893,10
2013-Wayne,2013,Wayne,92809,20
2013-Westchester,2013,Westchester,966498,284
2013-Wyoming,2013,Wyoming,41875,6
2013-Yates,2013,Yates,25375,0
2012-Albany,2012,Albany,305204,137
2012-Allegany,2012,Allegany,49041,4
2012-Bronx,2012,Bronx,1404470.732,0
2012-Broome,2012,Broome,200105,58
2012-Cattaraugus,2012,Cattaraugus,78364,11
2012-Cayuga,2012,Cayuga,80168,8
2012-Chautauqua,2012,Chautauqua,135093,37
2012-Chemung,2012,Chemung,89320,32
2012-Chenango,2012,Chenango,50389,10
2012-Clinton,2012,Clinton,82387,2
2012-Columbia,2012,Columbia,62888,12
2012-Cortland,2012,Cortland,49629,6
2012-Delaware,2012,Delaware,46974,8
2012-Dutchess,2012,Dutchess,299607,105
2012-Erie,2012,Erie,922983,1186
2012-Essex,2012,Essex,37885,13
2012-Franklin,2012,Franklin,51829,4
2012-Fulton,2012,Fulton,55347,9
2012-Genesee,2012,Genesee,60189,6
2012-Greene,2012,Greene,49218,5
2012-Hamilton,2012,Hamilton,4819,0
2012-Herkimer,2012,Herkimer,64506,7
2012-Jefferson,2012,Jefferson,118546,20
2012-Kings,2012,Kings,2539713.758,0
2012-Lewis,2012,Lewis,27218,3
2012-Livingston,2012,Livingston,65421,7
2012-Madison,2012,Madison,73761,2
2012-Monroe,2012,Monroe,749650,789
2012-Montgomery,2012,Montgomery,50185,10
2012-Nassau,2012,Nassau,1351693,450
2012-New York,2012,New York,1608042.271,0
2012-Niagara,2012,Niagara,217177,144
2012-Oneida,2012,Oneida,235552,90
2012-Onondaga,2012,Onondaga,469480,341
2012-Ontario,2012,Ontario,109111,14
2012-Orange,2012,Orange,376895,163
2012-Orleans,2012,Orleans,42852,6
2012-Oswego,2012,Oswego,122888,20
2012-Otsego,2012,Otsego,62251,6
2012-Putnam,2012,Putnam,100472,3
2012-Queens,2012,Queens,2261905.758,0
2012-Rensselaer,2012,Rensselaer,160255,102
2012-Richmond,2012,Richmond,475282.4808,0
2012-Rockland,2012,Rockland,316859,57
2012-Saratoga,2012,Saratoga,222074,13
2012-Schenectady,2012,Schenectady,155895,102
2012-Schoharie,2012,Schoharie,32754,4
2012-Schuyler,2012,Schuyler,18460,6
2012-Seneca,2012,Seneca,35388,2
2012-Steuben,2012,Steuben,99568,7
2012-St Lawrence,2012,St Lawrence,112293,14
2012-Suffolk,2012,Suffolk,1506906,437
2012-Sullivan,2012,Sullivan,77315,26
2012-Tioga,2012,Tioga,51319,1
2012-Tompkins,2012,Tompkins,102272,14
2012-Ulster,2012,Ulster,183433,32
2012-Warren,2012,Warren,66186,9
2012-Washington,2012,Washington,63506,12
2012-Wayne,2012,Wayne,93940,10
2012-Westchester,2012,Westchester,961058,340
2012-Wyoming,2012,Wyoming,42170,2
2012-Yates,2012,Yates,25591,2
2011-Albany,2011,Albany,305571,196
2011-Allegany,2011,Allegany,49166,4
2011-Bronx,2011,Bronx,1391333,0
2011-Broome,2011,Broome,201502,46
2011-Cattaraugus,2011,Cattaraugus,78771,12
2011-Cayuga,2011,Cayuga,80386,15
2011-Chautauqua,2011,Chautauqua,135511,28
2011-Chemung,2011,Chemung,89229,9
2011-Chenango,2011,Chenango,50704,7
2011-Clinton,2011,Clinton,82497,2
2011-Columbia,2011,Columbia,63380,21
2011-Cortland,2011,Cortland,49558,4
2011-Delaware,2011,Delaware,47349,10
2011-Dutchess,2011,Dutchess,298825,91
2011-Erie,2011,Erie,923171,1155
2011-Essex,2011,Essex,38031,3
2011-Franklin,2011,Franklin,51831,2
2011-Fulton,2011,Fulton,55649,14
2011-Genesee,2011,Genesee,60220,6
2011-Greene,2011,Greene,49442,6
2011-Hamilton,2011,Hamilton,4858,0
2011-Herkimer,2011,Herkimer,64809,7
2011-Jefferson,2011,Jefferson,116751,22
2011-Kings,2011,Kings,2515957,0
2011-Lewis,2011,Lewis,27209,5
2011-Livingston,2011,Livingston,65687,7
2011-Madison,2011,Madison,73772,3
2011-Monroe,2011,Monroe,747689,700
2011-Montgomery,2011,Montgomery,50445,4
2011-Nassau,2011,Nassau,1345553,398
2011-New York,2011,New York,1593000,0
2011-Niagara,2011,Niagara,217442,139
2011-Oneida,2011,Oneida,235934,94
2011-Onondaga,2011,Onondaga,469125,303
2011-Ontario,2011,Ontario,108416,13
2011-Orange,2011,Orange,374489,200
2011-Orleans,2011,Orleans,43076,5
2011-Oswego,2011,Oswego,122658,17
2011-Otsego,2011,Otsego,62539,18
2011-Putnam,2011,Putnam,100158,1
2011-Queens,2011,Queens,2240748,0
2011-Rensselaer,2011,Rensselaer,160146,112
2011-Richmond,2011,Richmond,470837,0
2011-Rockland,2011,Rockland,313088,44
2011-Saratoga,2011,Saratoga,220594,8
2011-Schenectady,2011,Schenectady,155422,126
2011-Schoharie,2011,Schoharie,32896,3
2011-Schuyler,2011,Schuyler,18425,3
2011-Seneca,2011,Seneca,35409,3
2011-Steuben,2011,Steuben,99435,9
2011-St Lawrence,2011,St Lawrence,112447,26
2011-Suffolk,2011,Suffolk,1500062,530
2011-Sullivan,2011,Sullivan,77896,24
2011-Tioga,2011,Tioga,51355,1
2011-Tompkins,2011,Tompkins,102020,9
2011-Ulster,2011,Ulster,183313,36
2011-Warren,2011,Warren,66002,9
2011-Washington,2011,Washington,63500,17
2011-Wayne,2011,Wayne,94193,15
2011-Westchester,2011,Westchester,953379,346
2011-Wyoming,2011,Wyoming,42344,2
2011-Yates,2011,Yates,25462,0
2010-Albany,2010,Albany,295267,154
2010-Allegany,2010,Allegany,48531,10
2010-Bronx,2010,Bronx,1387983,0
2010-Broome,2010,Broome,191892,64
2010-Cattaraugus,2010,Cattaraugus,76602,10
2010-Cayuga,2010,Cayuga,78400,17
2010-Chautauqua,2010,Chautauqua,131411,41
2010-Chemung,2010,Chemung,87073,32
2010-Chenango,2010,Chenango,49978,8
2010-Clinton,2010,Clinton,80874,9
2010-Columbia,2010,Columbia,60786,10
2010-Cortland,2010,Cortland,47401,6
2010-Delaware,2010,Delaware,43997,10
2010-Dutchess,2010,Dutchess,291541,118
2010-Erie,2010,Erie,895158,1144
2010-Essex,2010,Essex,35964,6
2010-Franklin,2010,Franklin,49634,3
2010-Fulton,2010,Fulton,54344,24
2010-Genesee,2010,Genesee,56871,9
2010-Greene,2010,Greene,48478,6
2010-Hamilton,2010,Hamilton,4824,1
2010-Herkimer,2010,Herkimer,61330,15
2010-Jefferson,2010,Jefferson,118131,31
2010-Kings,2010,Kings,2550004,0
2010-Lewis,2010,Lewis,25785,5
2010-Livingston,2010,Livingston,62020,3
2010-Madison,2010,Madison,69222,8
2010-Monroe,2010,Monroe,724942,817
2010-Montgomery,2010,Montgomery,47969,4
2010-Nassau,2010,Nassau,1344303,404
2010-New York,2010,New York,1618207,0
2010-Niagara,2010,Niagara,211650,124
2010-Oneida,2010,Oneida,228059,115
2010-Onondaga,2010,Onondaga,449339,355
2010-Ontario,2010,Ontario,105010,7
2010-Orange,2010,Orange,383475,152
2010-Orleans,2010,Orleans,41377,5
2010-Oswego,2010,Oswego,119906,16
2010-Otsego,2010,Otsego,60905,13
2010-Putnam,2010,Putnam,98472,7
2010-Queens,2010,Queens,2291352,0
2010-Rensselaer,2010,Rensselaer,154087,93
2010-Richmond,2010,Richmond,488456,0
2010-Rockland,2010,Rockland,298092,61
2010-Saratoga,2010,Saratoga,219519,4
2010-Schenectady,2010,Schenectady,151036,145
2010-Schoharie,2010,Schoharie,31169,1
2010-Schuyler,2010,Schuyler,18455,0
2010-Seneca,2010,Seneca,33740,1
2010-Steuben,2010,Steuben,95252,8
2010-St Lawrence,2010,St Lawrence,108273,14
2010-Suffolk,2010,Suffolk,1511183,542
2010-Sullivan,2010,Sullivan,75137,18
2010-Tioga,2010,Tioga,49341,6
2010-Tompkins,2010,Tompkins,101158,14
2010-Ulster,2010,Ulster,179764,40
2010-Warren,2010,Warren,65549,4
2010-Washington,2010,Washington,62227,12
2010-Wayne,2010,Wayne,90027,14
2010-Westchester,2010,Westchester,948303,347
2010-Wyoming,2010,Wyoming,40743,6
2010-Yates,2010,Yates,24182,1
2009-Albany,2009,Albany,298400,191
2009-Allegany,2009,Allegany,49605,5
2009-Bronx,2009,Bronx,1398093,0
2009-Broome,2009,Broome,194381,56
2009-Cattaraugus,2009,Cattaraugus,77397,14
2009-Cayuga,2009,Cayuga,79569,20
2009-Chautauqua,2009,Chautauqua,133112,23
2009-Chemung,2009,Chemung,87431,22
2009-Chenango,2009,Chenango,50830,7
2009-Clinton,2009,Clinton,82153,4
2009-Columbia,2009,Columbia,61871,17
2009-Cortland,2009,Cortland,48257,6
2009-Delaware,2009,Delaware,45075,7
2009-Dutchess,2009,Dutchess,294145,120
2009-Erie,2009,Erie,905273,1331
2009-Essex,2009,Essex,36495,2
2009-Franklin,2009,Franklin,50448,8
2009-Fulton,2009,Fulton,54912,18
2009-Genesee,2009,Genesee,57420,12
2009-Greene,2009,Greene,49071,11
2009-Hamilton,2009,Hamilton,4980,0
2009-Herkimer,2009,Herkimer,61943,9
2009-Jefferson,2009,Jefferson,118766,28
2009-Kings,2009,Kings,2567968,0
2009-Lewis,2009,Lewis,26082,2
2009-Livingston,2009,Livingston,63003,9
2009-Madison,2009,Madison,69784,8
2009-Monroe,2009,Monroe,731849,785
2009-Montgomery,2009,Montgomery,48557,10
2009-Nassau,2009,Nassau,1352956,453
2009-New York,2009,New York,1642066,0
2009-Niagara,2009,Niagara,213831,135
2009-Oneida,2009,Oneida,231141,136
2009-Onondaga,2009,Onondaga,451917,301
2009-Ontario,2009,Ontario,104919,25
2009-Orange,2009,Orange,383829,127
2009-Orleans,2009,Orleans,41904,8
2009-Oswego,2009,Oswego,121238,20
2009-Otsego,2009,Otsego,61976,8
2009-Putnam,2009,Putnam,99574,5
2009-Queens,2009,Queens,2303205,0
2009-Rensselaer,2009,Rensselaer,155511,96
2009-Richmond,2009,Richmond,489575,0
2009-Rockland,2009,Rockland,299944,60
2009-Saratoga,2009,Saratoga,218936,15
2009-Schenectady,2009,Schenectady,151942,129
2009-Schoharie,2009,Schoharie,31936,3
2009-Schuyler,2009,Schuyler,18839,4
2009-Seneca,2009,Seneca,34162,5
2009-Steuben,2009,Steuben,96303,3
2009-St Lawrence,2009,St Lawrence,109430,14
2009-Suffolk,2009,Suffolk,1521962,582
2009-Sullivan,2009,Sullivan,76387,15
2009-Tioga,2009,Tioga,49986,6
2009-Tompkins,2009,Tompkins,101616,13
2009-Ulster,2009,Ulster,182041,57
2009-Warren,2009,Warren,66247,3
2009-Washington,2009,Washington,62991,5
2009-Wayne,2009,Wayne,91270,15
2009-Westchester,2009,Westchester,956850,317
2009-Wyoming,2009,Wyoming,41453,8
2009-Yates,2009,Yates,24634,0
2008-Albany,2008,Albany,299789,238
2008-Allegany,2008,Allegany,49594,2
2008-Bronx,2008,Bronx,1385371,0
2008-Broome,2008,Broome,195377,43
2008-Cattaraugus,2008,Cattaraugus,77775,16
2008-Cayuga,2008,Cayuga,79812,7
2008-Chautauqua,2008,Chautauqua,133217,35
2008-Chemung,2008,Chemung,87619,23
2008-Chenango,2008,Chenango,51170,4
2008-Clinton,2008,Clinton,82475,3
2008-Columbia,2008,Columbia,62256,15
2008-Cortland,2008,Cortland,48328,4
2008-Delaware,2008,Delaware,45266,10
2008-Dutchess,2008,Dutchess,294181,201
2008-Erie,2008,Erie,908651,1299
2008-Essex,2008,Essex,36790,3
2008-Franklin,2008,Franklin,50353,2
2008-Fulton,2008,Fulton,55012,12
2008-Genesee,2008,Genesee,57721,11
2008-Greene,2008,Greene,49358,6
2008-Hamilton,2008,Hamilton,5036,0
2008-Herkimer,2008,Herkimer,62313,7
2008-Jefferson,2008,Jefferson,117896,28
2008-Kings,2008,Kings,2549604,0
2008-Lewis,2008,Lewis,26403,5
2008-Livingston,2008,Livingston,63029,6
2008-Madison,2008,Madison,69859,7
2008-Monroe,2008,Monroe,728695,882
2008-Montgomery,2008,Montgomery,48560,5
2008-Nassau,2008,Nassau,1354833,407
2008-New York,2008,New York,1634686,0
2008-Niagara,2008,Niagara,214193,107
2008-Oneida,2008,Oneida,231868,152
2008-Onondaga,2008,Onondaga,453316,309
2008-Ontario,2008,Ontario,104379,11
2008-Orange,2008,Orange,381554,123
2008-Orleans,2008,Orleans,42138,9
2008-Oswego,2008,Oswego,121286,29
2008-Otsego,2008,Otsego,62469,10
2008-Putnam,2008,Putnam,99894,4
2008-Queens,2008,Queens,2289695,0
2008-Rensselaer,2008,Rensselaer,155621,89
2008-Richmond,2008,Richmond,485719,0
2008-Rockland,2008,Rockland,298129,36
2008-Saratoga,2008,Saratoga,217656,9
2008-Schenectady,2008,Schenectady,151325,174
2008-Schoharie,2008,Schoharie,32113,1
2008-Schuyler,2008,Schuyler,18989,1
2008-Seneca,2008,Seneca,34332,5
2008-Steuben,2008,Steuben,96608,1
2008-St Lawrence,2008,St Lawrence,109530,6
2008-Suffolk,2008,Suffolk,1522727,568
2008-Sullivan,2008,Sullivan,76571,11
2008-Tioga,2008,Tioga,50281,4
